ID;Team;Dataset #;Toolbox used;Quality/Pruning: Method;Motion Artifact Method;Resample/Downsample (Hz);Filtering;Removal of the Global Signals during Preprocessing;Non-GLM: Method;GLM: Method;GLM: HRF Regressor;GLM: Other Regressors;Stat Analysis: Software;Stat Analysis: Method;Stat Analysis: On Signal Type;Stat Analysis: Signal Space;Stat Analysis: Metric;Test for Normality;Stat Analysis: Threshold (p< X);Multiple Comparisons Correction
10;Charles Angels;1;HOMER3;Manual Selection;Wavelet Filter;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;One-Sample t-Test;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;1;HOMER3;Manual Selection;Wavelet Filter;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;Paired t-Test;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;1;HOMER3;Other;Spline Interpolation;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;One-Sample t-Test;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;1;HOMER3;Other;Spline Interpolation;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;Paired t-Test;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;1;HOMER3;Other;Wavelet Filter;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;One-Sample t-Test;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;1;HOMER3;Other;Wavelet Filter;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;Paired t-Test;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;Manual Selection;Spline Interpolation;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;Repeated Measures ANOVA;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;Manual Selection;Spline Interpolation;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;One-Sample t-Test;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;Manual Selection;Spline Interpolation;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;Paired t-Test;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;Manual Selection;Wavelet Filter;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;Repeated Measures ANOVA;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;Manual Selection;Wavelet Filter;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;One-Sample t-Test;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;Manual Selection;Wavelet Filter;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;Paired t-Test;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;SNR Threshold;Spline Interpolation;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;Repeated Measures ANOVA;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;SNR Threshold;Spline Interpolation;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;One-Sample t-Test;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;SNR Threshold;Spline Interpolation;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;Paired t-Test;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;SNR Threshold;Wavelet Filter;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;Repeated Measures ANOVA;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;SNR Threshold;Wavelet Filter;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;One-Sample t-Test;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;SNR Threshold;Wavelet Filter;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;Paired t-Test;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;Other;Spline Interpolation;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;Repeated Measures ANOVA;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;Other;Spline Interpolation;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;One-Sample t-Test;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;Other;Spline Interpolation;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;Paired t-Test;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;Other;Wavelet Filter;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;Repeated Measures ANOVA;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;Other;Wavelet Filter;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;One-Sample t-Test;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;2;HOMER3;Other;Wavelet Filter;Unknown;BandPass;Unknown;Block Averaging;Unknown;Unknown;Unknown;Unknown;Paired t-Test;Other;ROI;signal amplitude (windowed);Unknown;0.05;None
11;Copenhagen fnirs crew;1;NIRS Toolbox;SCI (Scalp-Coupling Index);TDDR;Unknown;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Default;PCA of the Short Channels;nirs toolbox;Linear Mixed Effects;HbO only;ROI;beta values provided by GLM;Unknown;0.05;Benjamini-Hochberg
11;Copenhagen fnirs crew;1;AnalyzIR;SCI (Scalp-Coupling Index);TDDR;Unknown;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Default;PCA of the Short Channels;nirs toolbox;Linear Mixed Effects;HbO only;ROI;beta values provided by GLM;Unknown;0.05;Benjamini-Hochberg
11;Copenhagen fnirs crew;2;AnalyzIR;SCI (Scalp-Coupling Index);TDDR;3,9;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Default;PCA of the Short Channels;Matlab;Linear Mixed Effects;HbO only;ROI;beta values provided by GLM;Unknown;0.05;Benjamini-Hochberg
11;Copenhagen fnirs crew;2;NIRS Toolbox;SCI (Scalp-Coupling Index);TDDR;3,9;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Default;PCA of the Short Channels;Matlab;Linear Mixed Effects;HbO only;ROI;beta values provided by GLM;Unknown;0.05;Benjamini-Hochberg
12;Dr. Borrell's Team;1;HOMER3;Manual Selection;Other;Unknown;Unknown;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Consecutive Gaussian;Short Channels;Matlab;Two-tailed t-test;HbO only;Channel;beta values provided by GLM;Unknown;0.05;Unknown
12;Dr. Borrell's Team;2;HOMER3;Manual Selection;Other;Unknown;Unknown;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Consecutive Gaussian;Short Channels;Matlab;Two-tailed t-test;HbO only;Channel;beta values provided by GLM;Unknown;0.05;Unknown
13;Empenn U1228;1;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
13;Empenn U1228;2;MNE;PSP (Cardiac Power Spectrum Peak);TDDR;Unknown;BandPass;Unknown;GLM;OLS (Ordinary Least Squares);Gamma;Short Channels;Python;Multiple Comparisons Correction;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;FDR
13;Empenn U1228;2;MNE;PSP (Cardiac Power Spectrum Peak);TDDR;Unknown;BandPass;Unknown;GLM;OLS (Ordinary Least Squares);Gamma;Short Channels;Python;Two-Sample t-Test;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;FDR
13;Empenn U1228;2;MNE;PSP (Cardiac Power Spectrum Peak);TDDR;Unknown;BandPass;Unknown;GLM;OLS (Ordinary Least Squares);Gamma;Short Channels;Python;One-tailed t-test;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;FDR
13;Empenn U1228;2;MNE;SCI (Scalp-Coupling Index);TDDR;Unknown;BandPass;Unknown;GLM;OLS (Ordinary Least Squares);Gamma;Short Channels;Python;Multiple Comparisons Correction;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;FDR
13;Empenn U1228;2;MNE;SCI (Scalp-Coupling Index);TDDR;Unknown;BandPass;Unknown;GLM;OLS (Ordinary Least Squares);Gamma;Short Channels;Python;Two-Sample t-Test;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;FDR
13;Empenn U1228;2;MNE;SCI (Scalp-Coupling Index);TDDR;Unknown;BandPass;Unknown;GLM;OLS (Ordinary Least Squares);Gamma;Short Channels;Python;One-tailed t-test;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;FDR
14;FRESH at Western;1;AnalyzIR;Other;Spline Interpolation;4;HighPass;Other;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression),OLS (Ordinary Least Squares);Default;Short Channels;nirs toolbox;Robust Mixed Effects Model;HbO and HbR;ROI,Channel;beta values provided by GLM;Unknown;0.05;Unknown
14;FRESH at Western;1;AnalyzIR;Other;Wavelet Filter;4;HighPass;Other;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression),OLS (Ordinary Least Squares);Default;Short Channels;nirs toolbox;Robust Mixed Effects Model;HbO and HbR;ROI,Channel;beta values provided by GLM;Unknown;0.05;Unknown
14;FRESH at Western;1;HOMER3;Other;Spline Interpolation;4;HighPass;Other;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression),OLS (Ordinary Least Squares);Default;Short Channels;nirs toolbox;Robust Mixed Effects Model;HbO and HbR;ROI,Channel;beta values provided by GLM;Unknown;0.05;Unknown
14;FRESH at Western;1;HOMER3;Other;Wavelet Filter;4;HighPass;Other;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression),OLS (Ordinary Least Squares);Default;Short Channels;nirs toolbox;Robust Mixed Effects Model;HbO and HbR;ROI,Channel;beta values provided by GLM;Unknown;0.05;Unknown
14;FRESH at Western;2;AnalyzIR;Other;Spline Interpolation;4;HighPass;Other;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression),OLS (Ordinary Least Squares);Default;Short Channels;nirs toolbox;Robust Mixed Effects Model;HbO and HbR;ROI,Channel;beta values provided by GLM;Unknown;0.05;Unknown
14;FRESH at Western;2;AnalyzIR;Other;Wavelet Filter;4;HighPass;Other;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression),OLS (Ordinary Least Squares);Default;Short Channels;nirs toolbox;Robust Mixed Effects Model;HbO and HbR;ROI,Channel;beta values provided by GLM;Unknown;0.05;Unknown
14;FRESH at Western;2;HOMER3;Other;Spline Interpolation;4;HighPass;Other;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression),OLS (Ordinary Least Squares);Default;Short Channels;nirs toolbox;Robust Mixed Effects Model;HbO and HbR;ROI,Channel;beta values provided by GLM;Unknown;0.05;Unknown
14;FRESH at Western;2;HOMER3;Other;Wavelet Filter;4;HighPass;Other;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression),OLS (Ordinary Least Squares);Default;Short Channels;nirs toolbox;Robust Mixed Effects Model;HbO and HbR;ROI,Channel;beta values provided by GLM;Unknown;0.05;Unknown
15;fresh01;1;HOMER3;SNR Threshold;CBSI;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
15;fresh01;1;MNE;SNR Threshold;CBSI;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
15;fresh01;1;Python;SNR Threshold;CBSI;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
15;fresh01;2;HOMER3;SNR Threshold;CBSI;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
15;fresh01;2;MNE;SNR Threshold;CBSI;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
15;fresh01;2;Python;SNR Threshold;CBSI;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
16;HSU;1;Python;Other;TDDR;Unknown;BandPass;No;GLM;Default;SPM;Short Channels;Python;Linear Mixed Effects;HbO only;ROI;beta values provided by GLM;Unknown;0.05;Unknown
16;HSU;1;MNE;Other;TDDR;Unknown;BandPass;No;GLM;Default;SPM;Short Channels;Python;Linear Mixed Effects;HbO only;ROI;beta values provided by GLM;Unknown;0.05;Unknown
16;HSU;2;MNE;Other;TDDR;Unknown;BandPass;Unknown;GLM;Default;SPM;Short Channels;Python;Linear Mixed Effects;HbO only;ROI;beta values provided by GLM;Unknown;0.05;Unknown
16;HSU;2;Python;Other;TDDR;Unknown;BandPass;Unknown;GLM;Default;SPM;Short Channels;Python;Linear Mixed Effects;HbO only;ROI;beta values provided by GLM;Unknown;0.05;Unknown
17;LCNLab at CCU;1;HOMER3;SNR Threshold;Spline SG;Unknown;BandPass;Other;GLM;Default;Default;Short Channels;Unknown;Mixed Effects Model;HbO only;Channel;beta values provided by GLM;Unknown;0.05;Bonferroni
17;LCNLab at CCU;2;HOMER3;SNR Threshold;Spline SG;Unknown;BandPass;Other;GLM;Default;Default;Short Channels;Unknown;Mixed Effects Model;HbO only;Channel;beta values provided by GLM;Unknown;0.05;Bonferroni
18;Learning Brain Lab;1;AnalyzIR;SCI (Scalp-Coupling Index);TDDR;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;AnalyzIR;SCI (Scalp-Coupling Index);Targeted PCA;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;AnalyzIR;SNR Threshold;TDDR;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;AnalyzIR;SNR Threshold;Targeted PCA;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;NIRS Toolbox;SCI (Scalp-Coupling Index);TDDR;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;NIRS Toolbox;SCI (Scalp-Coupling Index);Targeted PCA;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;NIRS Toolbox;SNR Threshold;TDDR;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;NIRS Toolbox;SNR Threshold;Targeted PCA;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;QT NIRS;SCI (Scalp-Coupling Index);TDDR;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;QT NIRS;SCI (Scalp-Coupling Index);Targeted PCA;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;QT NIRS;SNR Threshold;TDDR;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;QT NIRS;SNR Threshold;Targeted PCA;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;MNE;SCI (Scalp-Coupling Index);TDDR;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;MNE;SCI (Scalp-Coupling Index);Targeted PCA;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;MNE;SNR Threshold;TDDR;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;1;MNE;SNR Threshold;Targeted PCA;4;BandPass;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Mixed Effects Model;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;2;AnalyzIR;SCI (Scalp-Coupling Index);TDDR;8;BandPass;Unknown;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Other;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;2;AnalyzIR;SNR Threshold;TDDR;8;BandPass;Unknown;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Other;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;2;NIRS Toolbox;SCI (Scalp-Coupling Index);TDDR;8;BandPass;Unknown;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Other;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;2;NIRS Toolbox;SNR Threshold;TDDR;8;BandPass;Unknown;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Other;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;2;MNE;SCI (Scalp-Coupling Index);TDDR;8;BandPass;Unknown;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Other;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;2;MNE;SNR Threshold;TDDR;8;BandPass;Unknown;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Other;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;2;QT NIRS;SCI (Scalp-Coupling Index);TDDR;8;BandPass;Unknown;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Other;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
18;Learning Brain Lab;2;QT NIRS;SNR Threshold;TDDR;8;BandPass;Unknown;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Unknown;Short Channels;nirs toolbox;Other;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.05;Unknown
19;LIONlab;1;Other;Unknown;Targeted PCA;Unknown;LowPass;Other;GLM;OLS (Ordinary Least Squares);Glover;Short Channels;Matlab;One-tailed t-test;HbO only;Channel;beta values provided by GLM;Unknown;0.05;Unknown
19;LIONlab;1;Other;Unknown;Targeted PCA;Unknown;LowPass;Other;GLM;OLS (Ordinary Least Squares);Glover;Short Channels;Matlab;Two-Sample t-Test;HbO only;Channel;beta values provided by GLM;Unknown;0.05;Unknown
19;LIONlab;1;Other;Unknown;Targeted PCA;Unknown;LowPass;Other;GLM;OLS (Ordinary Least Squares);Glover;Short Channels;Matlab;Linear Mixed Effects;HbO only;Channel;beta values provided by GLM;Unknown;0.05;Unknown
19;LIONlab;2;Other;Unknown;Targeted PCA;Unknown;LowPass;Other;GLM;OLS (Ordinary Least Squares);Glover;Short Channels;Matlab;One-tailed t-test;HbO only;Channel;beta values provided by GLM;Unknown;0.05;Unknown
19;LIONlab;2;Other;Unknown;Targeted PCA;Unknown;LowPass;Other;GLM;OLS (Ordinary Least Squares);Glover;Short Channels;Matlab;Two-Sample t-Test;HbO only;Channel;beta values provided by GLM;Unknown;0.05;Unknown
19;LIONlab;2;Other;Unknown;Targeted PCA;Unknown;LowPass;Other;GLM;OLS (Ordinary Least Squares);Glover;Short Channels;Matlab;Linear Mixed Effects;HbO only;Channel;beta values provided by GLM;Unknown;0.05;Unknown
20;Maastricht HBCI group;1;Satori;SCI (Scalp-Coupling Index);TDDR;Unknown;BandPass;Other;GLM;Default;Gamma;Unknown;Unknown;Random Effects;HbO and HbR;ROI;Other;Unknown;0.05;Unknown
20;Maastricht HBCI group;1;Satori;SCI (Scalp-Coupling Index);Monotonic Interpolation;Unknown;BandPass;Other;GLM;Default;Gamma;Unknown;Unknown;Random Effects;HbO and HbR;ROI;Other;Unknown;0.05;Unknown
20;Maastricht HBCI group;2;Satori;Unknown;TDDR;Unknown;BandPass;Other;GLM;Default;Gamma;Unknown;Unknown;One-tailed t-test;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.01;FDR
20;Maastricht HBCI group;2;Satori;Unknown;TDDR;Unknown;BandPass;Other;GLM;Default;Gamma;Unknown;Unknown;Two-tailed t-test;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.01;FDR
20;Maastricht HBCI group;2;Satori;Unknown;Monotonic Interpolation;Unknown;BandPass;Other;GLM;Default;Gamma;Unknown;Unknown;One-tailed t-test;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.01;FDR
20;Maastricht HBCI group;2;Satori;Unknown;Monotonic Interpolation;Unknown;BandPass;Other;GLM;Default;Gamma;Unknown;Unknown;Two-tailed t-test;HbO and HbR;ROI;beta values provided by GLM;Unknown;0.01;FDR
21;msrlab;1;HOMER3;Visual Inspection of Time Domain;Hybrid spline wavelet;Unknown;BandPass;No;GLM;Unknown;Consecutive Gaussian;Polynomial Drift,Short Channels;RStudio;Wilcoxon signed-rank test;HbR only;Channel,ROI;signal amplitude (windowed);Kolmogorov–Smirnov;0.05;FDR
21;msrlab;1;HOMER3;Visual Inspection of Time Domain;Hybrid spline wavelet;Unknown;BandPass;No;GLM;Unknown;Consecutive Gaussian;Polynomial Drift,Short Channels;RStudio;Linear Mixed Effects;HbR only;Channel,ROI;signal amplitude (windowed);Kolmogorov–Smirnov;0.05;FDR
21;msrlab;1;R;Visual Inspection of Time Domain;Hybrid spline wavelet;Unknown;BandPass;No;GLM;Unknown;Consecutive Gaussian;Polynomial Drift,Short Channels;RStudio;Wilcoxon signed-rank test;HbR only;Channel,ROI;signal amplitude (windowed);Kolmogorov–Smirnov;0.05;FDR
21;msrlab;1;R;Visual Inspection of Time Domain;Hybrid spline wavelet;Unknown;BandPass;No;GLM;Unknown;Consecutive Gaussian;Polynomial Drift,Short Channels;RStudio;Linear Mixed Effects;HbR only;Channel,ROI;signal amplitude (windowed);Kolmogorov–Smirnov;0.05;FDR
21;msrlab;2;HOMER3;Visual Inspection of Time Domain;Hybrid spline wavelet;Unknown;BandPass;Unknown;GLM;OLS (Ordinary Least Squares);Consecutive Gaussian;Polynomial Drift,Short Channels;RStudio;Wilcoxon signed-rank test;HbO and HbR;Channel;Unknown;Kolmogorov–Smirnov;Unknown;Unknown
21;msrlab;2;HOMER3;Visual Inspection of Time Domain;Hybrid spline wavelet;Unknown;BandPass;Unknown;GLM;OLS (Ordinary Least Squares);Consecutive Gaussian;Polynomial Drift,Short Channels;RStudio;Other;HbO and HbR;Channel;Unknown;Kolmogorov–Smirnov;Unknown;Unknown
21;msrlab;2;R;Visual Inspection of Time Domain;Hybrid spline wavelet;Unknown;BandPass;Unknown;GLM;OLS (Ordinary Least Squares);Consecutive Gaussian;Polynomial Drift,Short Channels;RStudio;Wilcoxon signed-rank test;HbO and HbR;Channel;Unknown;Kolmogorov–Smirnov;Unknown;Unknown
21;msrlab;2;R;Visual Inspection of Time Domain;Hybrid spline wavelet;Unknown;BandPass;Unknown;GLM;OLS (Ordinary Least Squares);Consecutive Gaussian;Polynomial Drift,Short Channels;RStudio;Other;HbO and HbR;Channel;Unknown;Kolmogorov–Smirnov;Unknown;Unknown
22;Neuro-epilepsie;1;HOMER2;Visual Inspection of Time Domain;Targeted PCA;Unknown;BandPass;No;GLM;OLS (Ordinary Least Squares);Consecutive Gaussian;Polynomial Drift,Short Channels;Matlab;One-Sample t-Test;HbO only;ROI;beta values provided by GLM;Kolmogorov–Smirnov;0.05;FDR
22;Neuro-epilepsie;1;HOMER2;Visual Inspection of Time Domain;Targeted PCA;Unknown;BandPass;No;GLM;OLS (Ordinary Least Squares);Consecutive Gaussian;Polynomial Drift,Short Channels;Matlab;One-tailed t-test;HbO only;ROI;beta values provided by GLM;Kolmogorov–Smirnov;0.05;FDR
22;Neuro-epilepsie;1;HOMER2;Visual Inspection of Time Domain;Targeted PCA;Unknown;BandPass;No;GLM;OLS (Ordinary Least Squares);Consecutive Gaussian;Polynomial Drift,Short Channels;Matlab;Paired t-Test;HbO only;ROI;beta values provided by GLM;Kolmogorov–Smirnov;0.05;FDR
22;Neuro-epilepsie;1;HOMER2;Visual Inspection of Time Domain;Targeted PCA;Unknown;BandPass;No;GLM;OLS (Ordinary Least Squares);Consecutive Gaussian;Polynomial Drift,Short Channels;Matlab;Two-tailed t-test;HbO only;ROI;beta values provided by GLM;Kolmogorov–Smirnov;0.05;FDR
