	ID	Team	Dataset #	Toolbox used	Quality/Pruning: Method	Quality/Pruning: Default Parameters?	Quality/Pruning: Parameters Used	Data quality/pruning: Default	Quality/Pruning: Method: Notes	Quality/Pruning: Total #CH pruned	Quality/Pruning: Total #Sbj pruned	Motion Artifact Method	Motion Artifact Correction: Default Parameters?	Motion Artifact Correction: Parameters Used	Motion Artifact: Notes	Motion Artifact Rejection	"Motion Artifact Rejection: Total Rejected (#Trials; #Subjects) copy"	Resample/Downsample (Hz)	Filtering	"Filtering Cutoff (Hz_cutoff; type; order)"	"Filtering (type; order)"	Did you use Default Parameters for your Filters?	Filtered Signal	Removal of the Global Signals during Preprocessing	MBLL DPF/PPF	Non-GLM: Method	Non-GLM: Notes	GLM: Method	GLM AR Order	GLM: Method: Notes	GLM: HRF Regressor	GLM: HRF Regressor: Notes	GLM: Other Regressors	GLM: Other Regressors: Notes	Stat Analysis: Software	Stat Analysis: Method	Stat Analysis: On Signal Type	Stat Analysis: Signal Space	Channel Selection Method	Channel Selection	ROI Method	Stat Analysis: Metric	Test for Normality	Outlier Removal	"Stat Analysis: Sample Size after rejections (#Channels; #Subjects)"	Stat Analysis: Threshold (p< X)	Multiple Comparisons Correction	Other Comments	Block Averaging: Window time range	Block Averaging: Modifiers	How confident are you with your fNIRS signal analysis skills	Contributors	Analysis Confidence	Results confidence	Other	Other copy	Other copy copy	Other copy copy copy	Block Averaging: Detrending: Other	Other Regressor	Other Stats Software	Other Stats Method	Other Stats Metric	Did you use Default Parameters for AR model order?
Study 2	14	FRESH at Western	2	AnalyzIR,HOMER3	Other				We opted to not exclude any timepoints, trials, channels, runs, participants, etc. Our main reasons include (a) limited data available, and (b) we used AR-IRLS which should be effective at down-weighting sources of noise that may otherwise need to have been removed.	0	0	Spline Interpolation,Wavelet Filter		"tMotion = 1; tMask = 1; STDEVthresh = 8; AMPthresh = 0.4; p = 0.99, sthresh_wavelet = 1.08; iqr_wavelet= 0.8; removeScaling = True"	This pipeline is exclusive to our OLS analysis. We did not perform any motion correction when doing AR-IRLS analysis.			4	HighPass	N/A	filter_type = wavelet		OD	Other	PPF = [0.1 0.1]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression),OLS (Ordinary Least Squares)	Pre-whitening with a 10 sec model (OLS only).	All short channels were regressed from each long channel (independently for HbO and HbR).	Default	We used the default HRF provided in NIRS Toolbox (nirs.design.basis.Canonical).	Short Channels		nirs toolbox	Robust Mixed Effects Model	HbO and HbR	ROI,Channel			We used meta-analysis maps from Neurosynth (https://neurosynth.org/) to define channel weighting for all ROIs. In cases where the channels selected by this process were not symmetrical by hemisphere, we did not force symmetry (e.g., Heschl’s Gyrus).	beta values provided by GLM	N/A	We did not explicitly remove any outliers. However, the robust mixed effects model used and AR-IRLS would have down-weighted the outliers.		0.05	N/A	"Homer3 was used during Spline Interpolation only. The rest were performed in NIRS Toolbox/AnalyzIR.

Our Robust Mixed Effects model used a Random Effects formula.

The motor dataset structure was very unfamiliar to us since our group generally does not separate conditions by runs. Since we do not have any experience analyzing data from such paradigms, the methods we have used in our analyses might not be optimal. Also, we tend to focus on group-level analyses.

We were more lenient in our preprocessing and analyses that we typically are. This was due to data quality, unfamiliar paradigm structure, auditory ROIs that are generally difficult to target with fNIRS, and low sample size.

We analyzed the data using two pipelines (OLS and AR-IRLS) and evaluated the extent of agreement between their results. When doing OLS, we used all preprocessing steps included above. During AR-IRLS, we did not include any supplementary motion correction or pre-whitening (since these are already included in the AR-IRLS algorithm).

When interpreting results, we looked for agreement between HbO and HbR signals. However, in cases that the results were significant only in one signal, we reported it accordingly."				Kevin Stubbs (Team Lead, Coding, Planning, Interpretation), Homa Vahidi (Planning, Interpretation), Michaela Kent (Planning, Interpretation), Siying Luan (Planning, Interpretation)	4	3		We used visual inspection at various levels of preprocessing to ensure parameters we had chosen were as effective as possible but we did not prune.		When doing OLS analysis, we pre-whitened the HbO and HbR signals using an Auto-Regressive (AR) method with a 10sec model.						
Study 1	15	fresh01	1	HOMER3,MNE,Custom: Python	SNR Threshold							CBSI																																																				
Study 2	15	fresh01	2	HOMER3,MNE,Custom: Python	SNR Threshold							CBSI																																																				
Study 1	16	HSU	1	Custom: Python,MNE	Other		"SCI_thresh = 0.8; PSP_thresh = 0.1;  l_freq=0.7; h_freq=1.5; l_trans_bandwidth=0.3; h_trans_bandwidth=0.3; "		if SCI or PP were bad in > 80% of segments then the channel was removed		153	TDDR	checked		 mne.preprocessing.nirs.temporal_derivative_distribution_repair(raw_od)				LowPass,HighPass	"f_hp = 0.02; f_lp = 0.6"	filter_order = 16		Hemoglobin	No	DPF = [6 6]	GLM		Default	AR5	drift_model=None, high_pass=None  (as the data was already filtered)	SPM	stim_dur=5.0	Short Channels		Python	Linear Mixed Effects	HbO only	ROI			fOLD specificity for BA 17 > 10%, unweighted	beta values provided by GLM	N/A			0.05	N/A	no correction for multiple comparsions necessary					4	4		A combination of SCI and peak power of the cross-correlated signal was used. This corresponds to qt-nirs, but a custom implementation using MNE was used.								
Study 2	16	HSU	2	MNE,Custom: Python	Other		"SCI_thresh = 0.8; PSP_thresh = 0.1;  l_freq=0.7; h_freq=1.5; l_trans_bandwidth=0.3; h_trans_bandwidth=0.3; "		subjects were removed at a later step if the bad channels were in a ROI		97	TDDR	checked						LowPass,HighPass	"f_hp = 0.02; f_lp = 0.6"	filter_order = 16		Hemoglobin		DPF = [6 6]	GLM		Default	AR5		SPM	stim_dur=2.0	Short Channels		Python	Linear Mixed Effects	HbO only	ROI			fold specificity > 10 & for prim. motor cortex (BA 4)	beta values provided by GLM	N/A			0.05	N/A	"Channels of left ROI were bad for all subjects, except subject 08 which had one good channel.
All sessiojns of  a subject were merged at the beginning of the analysis"					4	4		custom implementation of qt-nirs								
Study 1	17	LCNLab at CCU	1	HOMER3	SNR Threshold		SNR_thresh = 2					Spline SG	checked						LowPass,HighPass	"f_hp = 0.01; f_lp = 0.5"			OD	Other	PPF = [1.0 1.0]	GLM		Default			Default		Short Channels			Mixed Effects Model	HbO only	Channel				beta values provided by GLM	N/A			0.05	Bonferroni					"Hsin-Chin Chen
Department of Psychology, National Chung Cheng University

I did everything for all analyses."	3	3				"hmrR_MotionArtifactByChannel: tMotion = 0.5; tMask = 1.0; STDEVthresh = 20.0; AMPthresh = 5.00"						
Study 2	17	LCNLab at CCU	2	HOMER3	SNR Threshold		SNR_thresh = 2					Spline SG	checked						LowPass,HighPass	"f_hp = 0.01; f_lp = 0.5"			OD	Other	PPF = [1.0 1.0]	GLM		Default			Default		Short Channels			Mixed Effects Model	HbO only	Channel				beta values provided by GLM	N/A			0.05	Bonferroni					"Hsin-Chin Chen
Department of Psychology, National Chung Cheng University

I did everything for all analyses."	3	3				"hmrR_MotionArtifactByChannel: tMotion = 0.5; tMask = 1.0; STDEVthresh = 20.0; AMPthresh = 5.00"						
Study 1	18	Learning Brain Lab	1	AnalyzIR,NIRS Toolbox,QT NIRS,MNE	SCI (Scalp-Coupling Index),SNR Threshold			checked	No subject was discarded, but 84 channels (19%) were removed based on QT-NIRS.	84	0	TDDR,Targeted PCA	checked		We applied TDDR with PCA enabled with all default parameters within NIRStoolbox.			4	LowPass,HighPass	"f_hp = 0.01; f_lp = 0.09"	"filter_type = butter; filter_order = 4"	checked	Raw intensity	No	PPF = [0.1 0.1]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)	Canonical			We used the GLM function of the NIRStoolbox with default parameters.	Short Channels		nirs toolbox	Mixed Effects Model	HbO and HbR	ROI			Based on expert's visual inspection of the 2D plots created in NIRStoolbox	beta values provided by GLM	N/A			0.05	N/A					Hadi Borjkhani & Mojtaba Soltanlou equally contributed in all the steps.	5	5		QT-NIRS (SCI = 0.6, Qthreshold = 0.65)								checked
Study 2	18	Learning Brain Lab	2	AnalyzIR,NIRS Toolbox,MNE,QT NIRS	SCI (Scalp-Coupling Index),SNR Threshold		"SCI_thresh = 0.6; QUALITY_thresh = 0.65"	checked	No subject was discarded, but 290 channels (11%) were removed based on QT-NIRS.	290	0	TDDR	checked					8	LowPass,HighPass	"f_hp = 0.01; f_lp = 0.09"	"filter_type = butter; filter_order = 4"		Raw intensity		PPF = [0.1 0.1]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)		We used the GLM function (canonical) of the NIRStoolbox with default parameters.			Short Channels		nirs toolbox	Other	HbO and HbR	ROI			Based on expert's visual inspection of the 2D plots created in NIRStoolbox	beta values provided by GLM	N/A			0.05	N/A					Hadi Borjkhani & Mojtaba Soltanlou equally contributed to all the steps.	5	5								We used ttest in subject level by using nirs.math.combineStats function with all default parameters in NIRStoolbox		checked
Study 1	19	LIONlab	1	Other	N/A							Targeted PCA		custom	"Subtract target PCA,  offset correction,  manual review. Detected using artefact detection moving average=1 seconde; median threshold > 5, min; subinterval=2 secondes; correlation among channel > 0.8)"				LowPass	f_lp = 0.2	"filter_type = butter; filter_order = 4"		OD	Other	"DPF = [6.15 5.09]; PPF= [1 1]"	GLM		OLS (Ordinary Least Squares)		Use function regress.m (MATLAB)	Glover	"TPeak1=5.4; FWHM1=5.2; TPEAK2=10.8; FWHM2=7.35; DIP=0.35"	Short Channels		Matlab	One-tailed t-test,Two-Sample t-Test,Linear Mixed Effects	HbO only	Channel			Select the peak in a predefine larger anatomical sub-region	beta values provided by GLM	N/A	zscore > 3		0.05	N/A	Due to the short delay and the good data quality, artifact corrections were mostly performed automatically. 				"Julie Tremblay (data analysis)
Anne Gallagher (correction, discussion)
Phetsamone Vannasing (correction, discussion)
Natacha Paquette (correction, discussion)"	4	4	LIONirs			Include all channel 						
Study 2	19	LIONlab	2	Other	N/A							Targeted PCA		custom	"Subtract target PCA,  offset correction,  manual review. Detected using artefact detection moving average=1 seconde; median threshold > 5, min; subinterval=2 secondes; correlation among channel > 0.8)"				LowPass	f_lp = 0.2	"filter_type = butter; filter_order = 4"		OD	Other	"DPF = [6.15 5.09]; PPF= [1 1]"	GLM		OLS (Ordinary Least Squares)		Use function regress.m (MATLAB)	Glover	"TPeak1=5.4; FWHM1=5.2; TPEAK2=10.8; FWHM2=7.35; DIP=0.35"	Short Channels		Matlab	One-tailed t-test,Two-Sample t-Test,Linear Mixed Effects	HbO only	Channel			Select the peak in a predefine larger anatomical sub-region	beta values provided by GLM	N/A	zscore > 3		0.05	N/A	Due to the short delay and the good data quality, artifact corrections were mostly performed automatically. 				"Julie Tremblay (data analysis)
Anne Gallagher (correction, discussion)
Phetsamone Vannasing (correction, discussion)
Natacha Paquette (correction, discussion)"	4	4	LIONirs			Include all channel 						
Study 1	20	Maastricht HBCI group	1	Satori	SCI (Scalp-Coupling Index)		SCI_thresh = 0.75	checked	Unable to use the notation in the previous box. Data quality was assessed by computing the scalp-coupling (SCI) index, per channel. Participants presenting less than 50% of channels with an SCI below the threshold of 0.75 were excluded from the group analysis, with the final dataset being comprised of N = 13. Indices of participants excluded: 7,8,13,14.		4	TDDR,Monotonic Interpolation	checked	"Spike_thresh = 3.5; timelag = 5;"	"SpikeThreshold= 3.5 SD in OD; Timelag = 5 seconds"				LowPass,HighPass	"f_hp = 0.01; f_lp = 0.4"	"filter_type_hp = butter; filter_order_hp = 2; filter_type_lp = gaussianSmooth"	checked	OD	Other	DPF = [6.40 5.75]	GLM		Default			Gamma	2-gamma				Random Effects	HbO and HbR	ROI			Aligning 3D probe positions based on landmark positions present in the probe information in each ‘snirf’ file, allowed for the correspondence of optode location to normalized MNI space. Using term-based meta-analyses on fMRI data (https://neurosynth.org/) and a public repository of fMRI based-data statistical maps (Gorgolewski et al. 2015), a selection of channels of interest, corresponding to the brain regions mentioned in the hypothesis tested was done. For left Heschl's gyri (HG), channels S5-D2 and S6-D2 were considered of interest. For right HG, channels S12-D12 and S11-D12 were considered of interest. Channels S4-D2 and S4-D1 were considered to cover the left inferior frontal gyrus (LIFG). Finally, all channels comprised of the combination of optodes S7-10 and D6-8 were considered to cover the occipital cortex.	Other	N/A			0.05	N/A	"A random effects (RFX-GLM) group-level analysis was performed, separating subject predictors of the experimental protocol (‘Control’, ‘Noise,’ ‘Speach’), to determine active cortical areas considering the contrasts for each hypothesis testing (N = 13, p < 0.05 uncorrected).
For each hypothesis, we report the statistical t-value from the group-level RFX-GLM contrast analysis, as well as the p-value, for each of the channels of interest active (if any), for both HbO and HbR. For all hypotheses, we considered it true if any channel within the channels of interest aforementioned described for the respective brain region appears to have a significant activation for both HbO and HbR."		Baseline correction		"'- Danielle Evenblij (data preparation and analysis, writing documentation, submission)
- Michael Luehrs (supervision, especially concerning data-analysis & used software)
- Iara de Almeida (data preparation and analysis, writing documentation)
- João Pereira (data preparation and analysis, writing documentation, submission)
- Zeus Tipado(data preparation and analysis, writing documentation)
- Bettina Sorger (data management, supervision)"	4	4				A General Linear Model (GLM) based short-channel regression (SSR) was performed for each channel, using as regressor the highest correlation short distance detector (SDD) data	 z-transform normalization		Satori		t-statistics	
Study 2	20	Maastricht HBCI group	2	Satori	N/A				No.		0	TDDR,Monotonic Interpolation	checked						LowPass,HighPass	"f_hp = 0.03; f_lp = 0.4"	"filter_type_hp = butter; filter_order_hp = 2; filter_type_lp = gaussianSmooth"	checked	OD	Other	DPF = [6.40 5.75]	GLM		Default	"AR(p); order factor: 20s with a maximum of 20 iterations, Iterative least squares"		Gamma	"We used 2-Gamma; onset: 0; time to response peak: 6; Response dispersion: 1; Response undershoot ratio: 6; Time to undershoot peak: 6; Undershoot dispersion: 1"				One-tailed t-test,Two-tailed t-test	HbO and HbR	ROI			No toolbox was used. The ROIs (right and left M1). We selected 3 channels for each hemisphere that represented the hand knob area in the primary motor cortex, based on Satori’s visualization of channels’ projection of light on a 3D head mesh. 	beta values provided by GLM	N/A	No.		0.01	FDR	A hypothesis was considered true if for all the relevant contrasts any of the three channels of interest had a p-value < 0.1 (one-sided). This had to be the case for both HbO and HbR.				"All were involved in trying to understand the study and hypotheses, planning of the data analysis and the discussion of the results (specific contribution in brackets).

- Danielle Evenblij (data preparation and analysis, writing documentation, submission)
- Michael Luehrs (supervision, especially concerning data-analysis & used software)
- Iara de Almeida (data preparation and analysis, writing documentation)
- Joao Figueiredo Pereira
- Zeus Tipado
- Bettina Sorger (data management, supervision)

"	4	4		-		Short-channel regression			Satori			checked
Study 1	21	msrlab	1	HOMER3,R	Visual Inspection of Time Domain				number of channels discarded: Channels = 96 (Box above did not work)	96		Hybrid spline wavelet		"tMotion = 1; tMask = 1; STDEVthresh = 50; AMPthresh = 0.4; p_spline = 0.99; IQR_wavelet = 1.5"					LowPass,HighPass	"f_hp = 0.01; f_lp = 0.5"			OD	No	PPF = [1.0 1.0]	GLM					Consecutive Gaussian	"trange: -2 20; width = 1.0; step = 1.0"	Polynomial Drift,Short Channels		RStudio	Wilcoxon signed-rank test,Linear Mixed Effects	HbR only	Channel,ROI			assigned to an ROI based on the  labels given in the reference paper, i.e. rough anatomical location.	signal amplitude (windowed)	Kolmogorov–Smirnov	 Outlier was defined as above or below 2.5 SD. (i.e. >2.5 or < -2.5 after z-transformation))		0.05	FDR					"Martin Schulte-Rüther: visual inspection of bad channels, Analysis in Homer, analysis in R, submission
EIleen Weiss: preparatory analysis steps, ANalysis in Homer, visual inspection of bad channels"	3	3										
Study 2	21	msrlab	2	HOMER3,R	Visual Inspection of Time Domain				above field was not editable: Channels = 57	57		Hybrid spline wavelet		"tMotion = 1; tMask = 1; STDEVthresh = 50; AMPthresh = 0.4; p_spline = 0.99; IQR_wavelet = 1.5"					LowPass,HighPass	"f_hp = 0.01; f_lp = 0.5"		checked	OD		PPF = [1.0 1.0]	GLM		OLS (Ordinary Least Squares)			Consecutive Gaussian	1.0 1.0	Polynomial Drift,Short Channels		RStudio	Wilcoxon signed-rank test,Other	HbO and HbR	Channel			channels selected based on anatomical labels in the reference paper		Kolmogorov–Smirnov	outliers removed that are above 2.5SD or below -2.5SD				"average concentration timecourses were analysed with respect to the baseline period and Within the peak window of the HRF (t<10s), the number of bins were determined where the lower bound of standard errors was larger than the upper bound of the respective mean baseline standard error suggesting reliable concentration larger than zero.  Furthermore, the bins were determined where the upper bound of the respective mean baseline standard error of HbR was lower than the lower bound of standard errors of HbO.  If both conditions were fulfilled for at least x bins, a channel was deemed as reliable activated for a specific condition within a subject.   Then, those channels were listed that exceeded both of theses thresholds for at least 10 bins (~.5 sec). This bin threshold was determined by manual inspection of HRF forms and distribution of bin lengths across the whole dataset, both HRF forms (typical HRF forms were observed in the data with these thresholds) and the distribution (a visible cut at 10) supported the choice. A subject was considered to have reliable contralateral activation, if at least one channel around the sources 5,3,10,12 was reliable activated.
"				"Martin Schulte-Rüther: visual inspection for bad channels,  analysis in Homer3, Analysis in R, submission
Eileen Weiss: preparatory analysis steps, visual inspection for bad channels, Analysis in Homer3"	3	3								see comment		
Study 1	22	Neuro-epilepsie	1	HOMER2	Visual Inspection of Time Domain,SNR Threshold,Manual Selection		SNR_thresh = 2, dRange = [1e+04 1e+07]				32	Targeted PCA		STDEVthresh = 5, AMPthres = 2					LowPass,HighPass	"f_hp = 0.01; f_lp = 0.5"		checked	OD	No	DPF = [6 6]	GLM		OLS (Ordinary Least Squares)			Consecutive Gaussian		Polynomial Drift,Short Channels		Matlab	One-Sample t-Test,One-tailed t-test,Paired t-Test,Two-tailed t-test,Two-Sample t-Test,Multiple Comparisons Correction	HbO only	ROI			Based on the spatial locations of channels	beta values provided by GLM	Kolmogorov–Smirnov			0.05	FDR					Ke Peng (data preprocessing, statistical analysis, result interpretation)	4	4										
Study 2	22	Neuro-epilepsie	2	HOMER2	Visual Inspection of Time Domain,SNR Threshold,Manual Selection		SNR_thresh = 2, dRange = [1e+04 1e+07]				32	Targeted PCA		STDEVthresh = 5, AMPthres = 2					LowPass,HighPass	"f_hp = 0.01; f_lp = 0.5"		checked	OD	No	DPF = [6 6]	GLM		OLS (Ordinary Least Squares)			Consecutive Gaussian		Polynomial Drift,Short Channels		Matlab	One-Sample t-Test,One-tailed t-test,Paired t-Test,Two-tailed t-test,Two-Sample t-Test,Multiple Comparisons Correction	HbO only	ROI			Based on the spatial locations of channels	beta values provided by GLM	Kolmogorov–Smirnov			0.05	FDR					Ke Peng (data preprocessing, statistical analysis, result interpretation)	4	4										
Study 1	23	NIRS-riders	1	AnalyzIR,Custom: Matlab,NIRS Toolbox,QT NIRS	PSP (Cardiac Power Spectrum Peak),SCI (Scalp-Coupling Index)		"SCI_thresh = 0.6; PSP = 0.1"		"I could not enter anything in the box above (Total number of subjects or channels ""discarded"" due to data quality/pruning) => here the answer: Subjects = 0; Channels = 180;"	180	0	TDDR	checked						LowPass,HighPass	"f_hp = 0.01; f_lp = 0.09"	"filter_type = butter; filter_order = 2"	checked	Hemoglobin	Other	PPF = [0.1 0.1]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)			Default	Canonical HRF with peak time 6s after stimulus onset				Repeated Measures ANOVA	HbO and HbR	ROI			fOLD	beta values provided by GLM	N/A			0.05	None	We used Tukey for multiple comparison correction				David Mehler & Wiebke Ringels (both significant contribution to all parts of submission)	3	4				Systemic Activity Correction with GLM						checked
Study 2	23	NIRS-riders	NA																																																													
Study 1	24	OnTheMove	1	HOMER3	Other			checked			0	Hybrid spline wavelet	checked						LowPass	f_lp = 0.5	"filter_type = butter; filter_order = 3"	checked	OD	No	PPF = [1.0 1.0]	Block Averaging										Paired t-Test	HbO only	ROI			Fold toolbox based on the informations provided on the FRESH description.	signal amplitude (windowed)	N/A			0.05	FDR		[0 5]	Baseline correction		"Lenaic Borot: data analysis conception and application
Gregoire Vergotte: data analysis conception and application"	3	3		hmrR_PruneChannels			Centered to zero					
Study 2	24	OnTheMove	2	HOMER3	Other			checked			0	Hybrid spline wavelet	checked						LowPass	f_lp = 0.5	"filter_type = butter; filter_order = 3"	checked	OD	No	PPF = [1.0 1.0]	Block Averaging										Paired t-Test	HbO only	ROI			Fold toolbox based on the informations provided on the FRESH description.	signal amplitude (windowed)	N/A			0.05	FDR		[0 5]	Baseline correction		"Lenaic Borot: data analysis conception and application
Gregoire Vergotte: data analysis conception and application"	3	3		hmrR_PruneChannels			Centered to zero					
Study 1	25	Optical Bioimaging Lab UH	1	NIRS Toolbox,QT NIRS,Custom: Matlab	SCI (Scalp-Coupling Index),PSP (Cardiac Power Spectrum Peak)		"SCI_thresh = 0.70;  PSP Threshold = 0.10; f_cutoff = [0.5, 2.5] ;  Condition_mask = ‘all’  ; Window time = 5 sec  ; QUALITY_thresh = 0.7 "		Channel pruning was done by using QT-NIRS Matlab-based data quality assessment software. The sci and psp thresholds were 0.7 and 0.1 respectively. A channel had to yield at least 70% of good quality data to be recognized as a good channel. In motor dataset, each snirf file represented a stimulus and data pruning was performed for each stimulus, no subjects were excluded from the analysis, but the total number of channels that were removed as bad channels was 566. For the audio dataset, a single snirf file consisted of all the stimuli, unlike the motor dataset. The total number of channels removed was 217. No subjects were excluded from the analysis. 	217	0	N/A							LowPass,HighPass	"f_hp = 0.5; f_lp = 2.5"	"filter_type = butter; filter_order = 1"		Raw intensity	No	PPF = [0.1 0.1]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)	(4x sampling frequency) , Cochrane-Orcutt method (Orcutt G. H., Cochrane D., J. Am. Stat. Assoc. 44, 356–372 (1949) 10.1080/01621459.1949.10483312) 	The GLM method used in this analysis was the default one provided with NIRS-Toolbox 	Default	"We used canonical (double gamma) HRF. Here are the parameters Peak Time: 4 ;  Under shoot Time: 16  ; Peak Dispersion: 1 ;  Under Shoot dispersion: 1  ; ratio: 0.1667  ; duration: 32 ;  Include Derivatives: False "			Matlab,nirs toolbox	F Statistics,Mixed Effects Model,Paired t-Test,Multiple Comparisons Correction,Two-tailed t-test	HbO only,HbO and HbR	Channel,ROI			ROIs were chosen to test some specific hypothesis based on the research questions. Otherwise, we sticked to the beta values of channels after GLM for statistical testing. We checked the probe information by plotting the sources, detectors and channels in a 3D head model in NIRS-Toolbox and defined our ROIs visually. No additional toolbox was used to define the ROIs. If in the research question, a cortex or particularly a bigger region of brain was asked to select, and several channels covered that region, we considered those channels collectively as the region of interest. If a very small part of the brain was asked to test such as a gyrus and it was covered by only one channel, we used the GLM results of that specific channel only. 	beta values provided by GLM	N/A			0.05	Benjamini-Hochberg	We made our analysis based on the HbO signal mainly for both motor and audio datasets. But we also looked at the results of jointTest function offered by Nirs-Toolbox which takes HbO and HbR both the signals into consideration and gives a single p-value for the motor dataset. In the statistical testing part we utilized the p values to test each hypothesis for the audio dataset, whereas for the motor dataset, q values (Benjamini-Hochberg FDR corrected P values) were used. 				"Talukdar Raian Ferdous (Team Lead): Talukdar Raian Ferdous participated in all aspects of this project. He conducted preprocessing steps, made analysis plans and ran statistical tests. Coding scripts were mainly written and compiled by him. He was acting as the main lead and submitted the results to the FRESH study on behalf of his team Optical Bioimaging Lab UH.

Samuel Montero Hernandez: Dr. Samuel Montero Hernandez significantly contributed to the preprocessing steps, particularly channel pruning, making analysis plans and suggesting statistical tests.

Luca Pollonini: Dr. Luca Pollonini supervised the project's overall progress and particularly contributed to preprocessing steps and analysis plans and statistical tests."	5	5										checked
Study 2	25	Optical Bioimaging Lab UH	2	NIRS Toolbox,QT NIRS,Custom: Matlab	SCI (Scalp-Coupling Index),PSP (Cardiac Power Spectrum Peak)		"SCI_thresh = 0.70;  PSP Threshold = 0.10; f_cutoff = [0.5, 2.5] ;  Condition_mask = ‘all’  ; wdw_length = 5 ; QUALITY_thresh = 0.7 "		Channel pruning was done by using QT-NIRS Matlab-based data quality assessment software. The sci and psp thresholds were 0.7 and 0.1 respectively. A channel had to yield at least 70% of good quality data to be recognized as a good channel. In motor dataset, each snirf file represented a stimulus and data pruning was performed for each stimulus, no subjects were excluded from the analysis, but the total number of channels that were removed as bad channels was 566. For the audio dataset, a single snirf file consisted of all the stimuli, unlike the motor dataset. The total number of channels removed was 217. No subjects were excluded from the analysis. 	566	0	N/A							LowPass,HighPass	"f_hp = 0.5; f_lp = 2.5"	"filter_type = butter; filter_order = 1"		Raw intensity	No	PPF = [0.1 0.1]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)	(4x sampling frequency) , Cochrane-Orcutt method (Orcutt G. H., Cochrane D., J. Am. Stat. Assoc. 44, 356–372 (1949) 10.1080/01621459.1949.10483312) 	The GLM method used in this analysis was the default one provided with NIRS-Toolbox 	Default	"We used canonical (double gamma) HRF. Here are the parameters Peak Time: 4 ;  Under shoot Time: 16  ; Peak Dispersion: 1 ;  Under Shoot dispersion: 1  ; ratio: 0.1667  ; duration: 32 ;  Include Derivatives: False "			Matlab,nirs toolbox	F Statistics,Mixed Effects Model,Paired t-Test,Multiple Comparisons Correction,Two-tailed t-test	HbO only,HbO and HbR	Channel,ROI			ROIs were chosen to test some specific hypothesis based on the research questions. Otherwise, we sticked to the beta values of channels after GLM for statistical testing. We checked the probe information by plotting the sources, detectors and channels in a 3D head model in NIRS-Toolbox and defined our ROIs visually. No additional toolbox was used to define the ROIs. If in the research question, a cortex or particularly a bigger region of brain was asked to select, and several channels covered that region, we considered those channels collectively as the region of interest. If a very small part of the brain was asked to test such as a gyrus and it was covered by only one channel, we used the GLM results of that specific channel only. 	beta values provided by GLM	N/A			0.05	Benjamini-Hochberg	We made our analysis based on the HbO signal mainly for both motor and audio datasets. But we also looked at the results of jointTest function offered by Nirs-Toolbox which takes HbO and HbR both the signals into consideration and gives a single p-value for the motor dataset. In the statistical testing part we utilized the p values to test each hypothesis for the audio dataset, whereas for the motor dataset, q values (Benjamini-Hochberg FDR corrected P values) were used. 				"Talukdar Raian Ferdous (Team Lead): Talukdar Raian Ferdous participated in all aspects of this project. He conducted preprocessing steps, made analysis plans and ran statistical tests. Coding scripts were mainly written and compiled by him. He was acting as the main lead and submitted the results to the FRESH study on behalf of his team Optical Bioimaging Lab UH.

Samuel Montero Hernandez: Dr. Samuel Montero Hernandez significantly contributed to the preprocessing steps, particularly channel pruning, making analysis plans and suggesting statistical tests.

Luca Pollonini: Dr. Luca Pollonini supervised the project's overall progress and particularly contributed to preprocessing steps and analysis plans and statistical tests."	5	5										checked
Study 1	26	OwenLab	1	Custom: Matlab,HOMER3,HOMER2,AtlasViewer	SNR Threshold,PSP (Cardiac Power Spectrum Peak)		"SCI_thresh = 8;"		"Used the homer function enPruneChannel. The box above only accepted numbers -- so I've placed the answer here: Subjects = 0; Channels = 32;  PSP = Was visually inspected for short channels"	32	0	Hybrid spline wavelet		"IQR_wavelet = 1.5; order_spline = 3"					LowPass	f_lp = 0.5	"filter_type = butter; filter_order = 3"		Hemoglobin	Other	DPF= [6 6]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)	The order was derived for each channel. The order with the lowest BIC was the one used for that channel. 		Gamma		Other,PCA of the Short Channels		Matlab	Paired t-Test,One-Sample t-Test	HbO and HbR	Channel,ROI			ROI was determined by the anatomical locations determined via AtlasViewer. 	beta values provided by GLM	N/A			0.05	N/A					"Matthew Kolisnyk = Data wrangling, data preprocessing, data analysis, data interpretation, and submission of the results for both studies
Androu Abdalmalak = Data wrangling, data preprocessing, data analysis, data interpretation, and submission of the results for both studies. 

Matthew and Androu equally contributed to this work. "	4	4				Hemoglobin data was detrended using the MATLAB function detrend. 		Only good short channels (those that showed a cardiac frequency in the power spectrum) were included as regressors in the GLM. Prior to fitting the GLM,PCA was performed on the good quality short channels. The GLM incorporated pre-whitening to remove serially correlated errors (AI-IRLS).				
